FirstName,President,Date,delivery,nwords,type,filename,party
Franklin D.,Roosevelt,"January 6, 1937",spoken,2732,SOTU,su1937.txt,Democratic
Franklin D.,Roosevelt,"January 3, 1938",spoken,4697,SOTU,su1938.txt,Democratic
Franklin D.,Roosevelt,"January 4, 1939",spoken,3768,SOTU,su1939.txt,Democratic
Franklin D.,Roosevelt,"January 3, 1940",spoken,3196,SOTU,su1940.txt,Democratic
Franklin D.,Roosevelt,"January 6, 1941",spoken,3312,SOTU,su1941.txt,Democratic
Franklin D.,Roosevelt,"January 6, 1942",spoken,3511,SOTU,su1942.txt,Democratic
Franklin D.,Roosevelt,"January 7, 1943",spoken,4588,SOTU,su1943.txt,Democratic
Franklin D.,Roosevelt,"January 11, 1944",spoken,3805,SOTU,su1944.txt,Democratic
Franklin D.,Roosevelt,"January 6, 1945",written,8211,SOTU,su1945.txt,Democratic
Harry S.,Truman,"January 21, 1946",written,27465,SOTU,su1946.txt,Democratic
Harry S.,Truman,"January 6, 1947",spoken,6028,SOTU,su1947.txt,Democratic
Harry S.,Truman,"January 7, 1948",spoken,5094,SOTU,su1948.txt,Democratic
Harry S.,Truman,"January 5, 1949",spoken,3401,SOTU,su1949.txt,Democratic
Harry S.,Truman,"January 4, 1950",spoken,5130,SOTU,su1950.txt,Democratic
Harry S.,Truman,"January 8, 1951",spoken,3994,SOTU,su1951.txt,Democratic
Harry S.,Truman,"January 9, 1952",spoken,5369,SOTU,su1952.txt,Democratic
Harry S.,Truman,"January 7, 1953",written,9683,SOTU,su1953.txt,Democratic
Dwight D.,Eisenhower,"February 2, 1953",spoken,6973,SOTU,su1953b.txt,Republican
Dwight D.,Eisenhower,"January 7, 1954",spoken,5985,SOTU,su1954.txt,Republican
Dwight D.,Eisenhower,"January 6, 1955",spoken,7250,SOTU,su1955.txt,Republican
Dwight D.,Eisenhower,"January 5, 1956",written,8265,SOTU,su1956.txt,Republican
Dwight D.,Eisenhower,"January 10, 1957",spoken,4137,SOTU,su1957.txt,Republican
Dwight D.,Eisenhower,"January 9, 1958",spoken,4915,SOTU,su1958.txt,Republican
Dwight D.,Eisenhower,"January 9, 1959",spoken,4933,SOTU,su1959.txt,Republican
Dwight D.,Eisenhower,"January 7, 1960",spoken,5633,SOTU,su1960.txt,Republican
Dwight D.,Eisenhower,"January 12, 1961",written,6210,SOTU,su1961.txt,Republican
John F.,Kennedy,"January 30, 1961",spoken,5274,SOTU,su1961b.txt,Democratic
John F.,Kennedy,"January 11, 1962",spoken,6569,SOTU,su1962.txt,Democratic
John F.,Kennedy,"January 14, 1963",spoken,5470,SOTU,su1963.txt,Democratic
Lyndon B.,Johnson,"January 8, 1964",spoken,3168,SOTU,su1964.txt,Democratic
Lyndon B.,Johnson,"January 4, 1965",spoken,4399,SOTU,su1965.txt,Democratic
Lyndon B.,Johnson,"January 12, 1966",spoken,5542,SOTU,su1966.txt,Democratic
Lyndon B.,Johnson,"January 10, 1967",spoken,7195,SOTU,su1967.txt,Democratic
Lyndon B.,Johnson,"January 17, 1968",spoken,4914,SOTU,su1968.txt,Democratic
Lyndon B.,Johnson,"January 14, 1969",spoken,4115,SOTU,su1969.txt,Democratic
Richard,Nixon,"January 22, 1970",spoken,4457,SOTU,su1970.txt,Republican
Richard,Nixon,"January 22, 1971",spoken,4508,SOTU,su1971.txt,Republican
Richard,Nixon,"January 20, 1972",spoken,3976,SOTU,su1972.txt,Republican
Richard,Nixon,"February 2, 1973",written,27147,SOTU,su1973.txt,Republican
Richard,Nixon,"January 30, 1974",spoken,5144,SOTU,su1974.txt,Republican
Gerald R.,Ford,"January 15, 1975",spoken,4126,SOTU,su1975.txt,Republican
Gerald R.,Ford,"January 19, 1976",spoken,4948,SOTU,su1976.txt,Republican
Gerald R.,Ford,"January 12, 1977",spoken,4727,SOTU,su1977.txt,Republican
Jimmy,Carter,"January 19, 1978",spoken,4580,SOTU,su1978.txt,Democratic
Jimmy,Carter,"January 25, 1979",spoken,3257,SOTU,su1979.txt,Democratic
Jimmy,Carter,"January 21, 1980",spoken,3412,SOTU,su1980.txt,Democratic
Jimmy,Carter,"January 16, 1981",written,33667,SOTU,su1981.txt,Democratic
Ronald,Reagan,"February 18, 1981",spoken,4446,other,su1981b.txt,Republican
Ronald,Reagan,"January 26, 1982",spoken,5154,SOTU,su1982.txt,Republican
Ronald,Reagan,"January 25, 1983",spoken,5554,SOTU,su1983.txt,Republican
Ronald,Reagan,"January 25, 1984",spoken,4931,SOTU,su1984.txt,Republican
Ronald,Reagan,"February 6, 1985",spoken,4214,SOTU,su1985.txt,Republican
Ronald,Reagan,"February 4, 1986",spoken,3514,SOTU,su1986.txt,Republican
Ronald,Reagan,"January 27, 1987",spoken,3847,SOTU,su1987.txt,Republican
Ronald,Reagan,"January 25, 1988",spoken,4955,SOTU,su1988.txt,Republican
George,Bush,"February 9, 1989",spoken,4811,other,su1989.txt,Republican
George,Bush,"January 31, 1990",spoken,3777,SOTU,su1990.txt,Republican
George,Bush,"January 29, 1991",spoken,3823,SOTU,su1991.txt,Republican
George,Bush,"January 28, 1992",spoken,5012,SOTU,su1992.txt,Republican
